ts_code,pre_close,price,amount,turnover_rate,auction_pct,auction_amount_yi
600152.SH,11.89,12.4,34427360.0,0.524761,4.28931875525651,0.3442736
600173.SH,7.95,7.99,4955398.0,0.0885473,0.5031446540880502,0.04955398
600396.SH,8.03,8.13,65880642.0,0.550238,1.2453300124533273,0.65880642
600469.SH,7.25,7.34,6311666.0,0.117883,1.2413793103448256,0.06311666
600539.SH,15.95,16.4,13174120.0,0.349261,2.8213166144200663,0.1317412
600605.SH,29.39,31.3,16736110.0,0.259208,6.4988091187478725,0.1673611
600664.SH,4.04,4.28,72685956.0,0.674315,5.940594059405946,0.72685956
600855.SH,19.23,19.42,31792482.0,0.350077,0.9880395215808635,0.31792482
601588.SH,2.07,2.28,66098351.0,1.08987,10.144927536231885,0.66098351
601778.SH,6.03,6.02,65905154.0,0.306436,-0.16583747927032544,0.65905154
603002.SH,12.86,13.0,38936300.0,0.2641,1.0886469673405896,0.389363
603026.SH,98.52,104.0,69742400.0,0.288181,5.5623223710921765,0.697424
603061.SH,338.14,347.99,10926886.0,0.0523333,2.9129946176140065,0.10926886
603109.SH,23.43,23.66,3288740.0,0.0665555,0.981647460520696,0.0328874
603139.SH,28.47,28.47,3849144.0,0.135362,0.0,0.03849144
603171.SH,54.78,56.0,13529600.0,0.0595235,2.227090178897395,0.135296
603269.SH,16.01,16.6,18454220.0,0.360063,3.6851967520299844,0.1845422
603383.SH,31.94,32.8,12001520.0,0.178161,2.692548528490901,0.1200152
603527.SH,11.9,12.19,7966165.0,0.20617,2.4369747899159577,0.07966165
603585.SH,26.4,26.14,14437122.0,0.297606,-0.9848484848484773,0.14437122
603629.SH,79.95,81.55,66177825.0,0.315941,2.001250781738584,0.66177825
603698.SH,35.94,39.5,93441200.0,0.441352,9.905397885364508,0.934412
605167.SH,19.64,19.64,4823584.0,0.0546872,0.0,0.04823584
000620.SZ,3.11,3.11,67710609.0,0.466033,0.0,0.67710609
000889.SZ,4.31,4.32,48573216.0,1.29261,0.23201856148493682,0.48573216
000967.SZ,11.69,12.18,100057311.48,0.259519,4.191616766467066,1.0005731148
001299.SZ,18.54,18.36,39663108.0,0.989149,-0.9708737864077666,0.39663108
002023.SZ,12.32,12.65,69946910.0,0.746349,2.678571428571419,0.6994691
002051.SZ,10.82,11.39,63152902.88,0.448107,5.268022181146037,0.6315290288000001
002083.SZ,14.53,13.5,49057650.0,0.384002,-7.088781830695112,0.4905765
002107.SZ,7.83,8.39,32845172.0,0.685131,7.15197956577267,0.32845172
002124.SZ,2.85,2.99,54233816.0,0.919632,4.912280701754401,0.54233816
002149.SZ,50.0,52.0,110156696.0,0.433974,4.0000000000000036,1.10156696
002157.SZ,3.49,3.54,69767028.0,0.272429,1.4326647564469885,0.69767028
002213.SZ,38.08,37.97,43035198.0,0.54871,-0.28886554621848637,0.43035198
002229.SZ,19.7,19.7,73624810.0,0.757833,0.0,0.7362481
002297.SZ,13.29,14.62,38140670.62,0.455205,10.007524454477057,0.3814067062
002314.SZ,2.74,2.75,17449575.0,0.474139,0.36496350364962904,0.17449575
002328.SZ,11.84,11.9,102504220.0,1.5091,0.5067567567567544,1.0250422
002463.SZ,97.54,98.6,208824940.0,0.110146,1.0867336477342615,2.0882494
002647.SZ,10.41,10.79,26247754.0,0.239596,3.6503362151776964,0.26247754
002686.SZ,7.58,7.65,15195195.0,0.379984,0.923482849604218,0.15195195
002692.SZ,6.94,6.91,31146134.0,0.628026,-0.4322766570605263,0.31146134
002885.SZ,27.05,28.39,26093249.0,0.398038,4.953789279112764,0.26093249
002980.SZ,64.14,68.43,39879635.4,0.574791,6.688493919550997,0.39879635399999996
002990.SZ,38.28,37.96,26253136.0,0.509284,-0.8359456635318674,0.26253136
