ts_code,circ_mv_yi,prev_close
000785.SZ,159.23502353,2.7
002361.SZ,150.01140123000002,18.54
002787.SZ,41.84346702,16.68
002705.SZ,140.12512956,17.34
002498.SZ,282.77766,8.5
000788.SZ,40.34834867,6.77
002468.SZ,240.47407443,16.39
000026.SZ,64.96472262,17.82
001896.SZ,252.82196638000002,16.57
002033.SZ,54.61832999,9.94
002589.SZ,49.02473657,3.59
002038.SZ,68.74941695,8.07
000919.SZ,51.35793173,8.26
001208.SZ,56.32699286,21.4
002798.SZ,31.977450740000002,6.67
002788.SZ,60.89611126,15.95
002824.SZ,65.16433767000001,29.62
600135.SH,61.970395090000004,11.2
002891.SZ,133.73454469,41.84
003036.SZ,64.23471034,29.7
600267.SH,136.53890022,11.39
600488.SH,74.68504891,6.84
600572.SH,121.44735782000001,4.8
600594.SH,37.69574424,4.76
603063.SH,174.48201726,38.03
600683.SH,73.41105986000001,9.91
603216.SH,73.86627299999999,33.17
603150.SH,49.1783699,57.53
603327.SH,110.19141654,10.54
603285.SH,21.58583427,34.65
603459.SH,54.07147087,68.4
603444.SH,283.36646667,393.34
603687.SH,99.22574827000001,18.04
603773.SH,111.25095506,49.52
605222.SH,106.52905837,25.8
605098.SH,71.72953665,60.15
603890.SH,83.59785183,18.71
603950.SH,193.64630911999998,59.84
603815.SH,39.36358135,6.36
605289.SH,137.16610874999998,126.61
605366.SH,104.07201957000001,13.41
000889.SZ,41.23087464,4.74
605388.SH,44.0154772,7.33
002051.SZ,147.24318832,11.9
600664.SH,111.82183848999999,4.44
002990.SZ,57.18479593,42.11
600605.SH,66.6911093,32.33
603629.SH,225.901334,87.95
605365.SH,118.82644775,23.67
002297.SZ,83.78792454,14.62
603698.SH,211.87684700000003,39.53
002124.SZ,61.93193595,3.14
