trade_date,ts_code,name,skip_reason,n_pool,n_hit,hit_rank,auction_pct,close_pct_chg,pnl_close_pct_minus_buy_pct,close_vs_auction_pct
20260318,,,无命中,33,0,,,,,
20260319,,,无命中,48,0,,,,,
20260320,,,无命中,24,0,,,,,
20260323,,,无命中,24,0,,,,,
20260324,,,无命中,23,0,,,,,
20260325,,,无命中,77,0,,,,,
20260326,,,无命中,77,0,,,,,
20260327,,,无命中,39,0,,,,,
20260330,,,无命中,70,0,,,,,
20260331,,,无命中,56,0,,,,,
20260401,,,无命中,46,0,,,,,
20260402,,,无命中,48,0,,,,,
20260403,,,无命中,24,0,,,,,
20260407,,,无命中,27,0,,,,,
20260408,,,无命中,85,0,,,,,
20260409,,,无命中,110,0,,,,,
20260410,600743.SH,华远控股,,50,2,1.0,7.468879668049788,9.9585,2.4896203319502126,2.316602316602319
20260410,002824.SZ,和胜股份,,50,2,2.0,7.836308228123645,10.0131,2.1767917718763545,2.018570851836899
20260413,002418.SZ,康盛股份,,55,1,1.0,3.5149384885764468,10.0176,6.502661511423553,6.2818336162988135
20260414,,,无命中,52,0,,,,,
20260415,600664.SH,哈药股份,,46,1,1.0,5.940594059405946,9.901,3.960405940594054,3.738317757009349
20260416,,,无命中,52,0,,,,,
20260417,605388.SH,均瑶健康,,68,1,1.0,4.218362282878418,10.0496,5.8312377171215815,5.595238095238082
